Price,close,High,Low,Open,Volume
Ticker,VESUVIUS.NS,VESUVIUS.NS,VESUVIUS.NS,VESUVIUS.NS,VESUVIUS.NS
Date,,,,,
2022-03-31,1003.4187622070312,1031.9979106402716,1001.500355607051,1015.3226826185083,3588
2022-04-01,1014.8799438476562,1031.014158902276,998.5490184024906,1021.5697784116102,6117
2022-04-04,1021.8157958984375,1031.998021183456,1015.6178569813887,1031.0142289802309,2324
2022-04-05,1033.4737548828125,1055.609080427661,1021.8158407808911,1032.9818587595937,6002
2022-04-06,1045.2298583984375,1052.6082990763646,1021.1761898251182,1032.9816949098017,5235
2022-04-07,1035.982421875,1068.3490891074443,1032.981807635141,1052.5592963886854,5616
2022-04-08,1027.6201171875,1049.7062024641011,1019.2086464412453,1049.7062024641011,3620
2022-04-11,1021.7665405273438,1036.9169642125707,1015.6178393638442,1035.9331720264108,1972
2022-04-12,1034.7034912109375,1086.9920729263422,1006.1735161739826,1028.0628935730256,20946
2022-04-13,1025.996826171875,1056.4943818979839,1015.6177712670714,1056.2975514188574,6353
2022-04-18,1011.9285278320312,1040.852039527237,1007.4031082002746,1040.852039527237,3726
2022-04-19,1018.6183471679688,1031.9978954838111,1012.1744609849934,1022.8978187123859,3927
2022-04-20,1021.8648071289062,1037.8023112179603,1018.2740620342063,1023.0454297050264,2587
2022-04-21,1025.1605224609375,1042.8195411829288,1013.6009662261267,1013.6009662261267,2084
2022-04-22,1026.6854248046875,1036.6709387670453,1019.3069839593704,1025.160619085075,3364
2022-04-25,1001.4512329101562,1032.9817593654143,993.2365324152771,1032.9817593654143,5349
2022-04-26,1019.1103515625,1025.4066455840327,1008.3869926949893,1022.1600833269208,4136
2022-04-27,1004.4517822265625,1031.0141701992532,997.0241635248619,1031.0141701992532,3955
2022-04-28,1011.8389282226562,1017.292455863311,999.0477608739092,999.0477608739092,1339
2022-04-29,1005.5424194335938,1023.3410196815926,1001.9728225025872,1013.3757789189946,4283
2022-05-02,994.5361328125,1016.3504846787762,979.7618430222971,1016.2513527419726,2654
