SYMBOL,NAME_OF_COMPANY,P/E Ratio,Debt-to-Equity,ROE (%),Earnings Growth,Market Cap,Sector,Industry
SERVOTECH,Servotech Renewable Power System Limited,95.82677,42.941,,6.2,26397216768.0,Industrials,Electrical Equipment & Parts
SESHAPAPER,Seshasayee Paper and Boards Limited,11.502603,4.196,,-0.759,16731917312.0,Basic Materials,Paper & Paper Products
SETCO,Setco Automotive Limited,,,,,2568754176.0,Consumer Cyclical,Auto Parts
SETUINFRA,Setubandhan Infrastructure Limited,53.0,158.545,0.184,,69171360.0,Industrials,Engineering & Construction
SEYAIND,Seya Industries Limited,,93.308,,,398026080.0,Basic Materials,Specialty Chemicals
SFL,Sheela Foam Limited,53.91557,46.958,,-0.392,75718402048.0,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
SGIL,Synergy Green Industries Limited,37.918552,197.399,,1.076,6541386240.0,Industrials,Metal Fabrication
SGL,STL Global Limited,,61.409,,,335838464.0,Consumer Cyclical,Textile Manufacturing
SGLTL,Standard Glass Lining Technology Limited,52.283276,38.893,,0.224,30560180224.0,Industrials,Specialty Industrial Machinery
SHAH,Shah Metacorp Limited,5.3999996,3.895,,2.0,1953327872.0,Basic Materials,Steel
SHAHALLOYS,Shah Alloys Limited,,,,,1098365312.0,Basic Materials,Steel
SHAILY,Shaily Engineering Plastics Limited,83.34154,35.597,,0.737,70123347968.0,Basic Materials,Specialty Chemicals
SHAKTIPUMP,Shakti Pumps (India) Limited,9.768953,17.325,,,113851834368.0,Industrials,Specialty Industrial Machinery
SHALBY,Shalby Limited,68.67248,45.774,,,21141252096.0,Healthcare,Medical Care Facilities
SHALPAINTS,Shalimar Paints Limited,,46.854,,,8533519872.0,Basic Materials,Specialty Chemicals
SHANKARA,Shankara Building Products Limited,20.071026,13.908,,-0.195,14732661760.0,Consumer Cyclical,Home Improvement Retail
SHANTI,Shanti Overseas (India) Limited,,4.552,,,156927776.0,Consumer Defensive,Farm Products
